"Mã","Tên ngành","Chỉ tiêu 2026","Tổ hợp xét tuyển","2023 (UTXT)","2023 (TH)","2024 (UTXT)","2024 (TH)","2025 (TH)"
"106","**Khoa học Máy tính** _(KHMT, CN Dữ liệu & Big Data, An ninh Mạng, AI, CN Phần mềm)_","240","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","86.9","79.84","86.7","84.16","85.41"
"107","**Kỹ thuật Máy tính** _(KT Máy tính, Hệ thống tính toán NC, IoT, Thiết kế Vi mạch số)_","100","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","85.7","78.26","85.8","82.87","82.91"
"108","**Nhóm ngành Điện - Điện tử - Viễn Thông - Tự động hoá - Thiết kế Vi mạch**","670","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","81.4","66.59","83.6","80.03","80.77"
"109","**Kỹ thuật Cơ khí**","300","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","78.0","58.49","79.3","73.89","75.43"
"110","**Kỹ thuật Cơ Điện tử**","105","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","84.3","71.81","84.7","81.33","81.82"
"112","**Nhóm ngành Dệt - May** _(CN Dệt, May/Thời trang; KT Dệt/Sợi dệt)_","90","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","70.3","57.30","72.4","55.51","60.75"
"114","**Nhóm ngành Hoá - Thực phẩm - Sinh học**","330","**Toán, Hóa,** {Sinh, Lý, Anh, Tin, CNCN}<br>**Toán, Sinh, Anh**","84.9","70.83","84.4","77.36","75.43"
"115","**Nhóm ngành Xây dựng và Quản lý Dự án Xây dựng**","470","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","70.5","55.40","69.0","62.01","55.05"
"117","**Kiến Trúc** _(Kiến trúc, Kiến trúc Cảnh quan)_","90","**Toán, Lý,** {Văn, Anh, Tin, Hóa, CNCN}","81.2","59.36","77.2","70.85","67.42"
"123","**Quản lý Công nghiệp** _(QL Công nghiệp, QL Chuỗi Cung ứng & Vận hành)_","80","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Anh,** {Văn, Hóa, Tin, CNCN}","81.9","65.17","83.2","77.28","75.98"
"125","**Nhóm ngành Tài nguyên và Môi trường**","120","**Toán, Lý,** {Hóa, Anh, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, CNCN}","72.0","54.00","68.3","61.98","60.93"
"128","**Nhóm ngành Logistics và Hệ thống Công nghiệp**","70","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","86.1","73.51","85.9","80.10","80.52"
"129","**Kỹ thuật Vật liệu**","125","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, Tin, CNCN}","71.7","55.36","75.1","68.50","71.10"
"137","**Vật lý Kỹ thuật** _(KT Y sinh, Vật lý Tính toán, Vật lý Kỹ thuật)_","40","**Toán, Lý,** {Sinh, Hóa, Anh, Tin, CNCN}","77.6","60.81","80.7","73.86","76.61"
"138","**Cơ Kỹ thuật**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","74.0","60.65","75.5","74.70","75.98"
"140","**Kỹ thuật Nhiệt** _(KT Nhiệt lạnh; KT Nhiệt)_","80","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","72.1","60.46","72.1","72.01","73.50"
"141","**Bảo dưỡng Công nghiệp**","110","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","73.2","57.33","73.2","65.44","65.59"
"142","**Kỹ thuật Ô tô**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","82.0","68.73","81.8","78.22","76.34"
"145","**(Song ngành) Tàu thủy - Hàng không**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","83.6","59.94","81.7","75.38","76.63"
"146","**Khoa học Dữ liệu**","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","85.5","82.14","83.85"
"147","**Địa Kỹ thuật Xây dựng**","60","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","76.6","55.38","55.06"
"148","**Kinh tế Xây dựng**","120","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Văn,** {Lý, Anh, Tin, CNCN}","-","-","71.9","58.59","55.72"
"150","**Kỹ thuật Dầu khí** _(Ngành mới)_","70","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Lý, Anh, Tin, CNCN}","-","-","-","-","-"
"151","**Kỹ thuật Địa chất** _(Ngành mới)_","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"152","**Kỹ thuật Đường sắt** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"153","**Quản trị Kinh doanh**","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Anh,** {Văn, Hóa, Tin, CNCN}","-","-","-","-","71.24"
"155","**Chuyên ngành Kinh tế Tuần hoàn** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, CNCN}<br>**Toán, Hóa,** {Sinh, Anh, CNCN}","-","-","-","-","-"
"156","**Kỹ thuật Hạt nhân** _(Ngành mới)_","30","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}","-","-","-","-","-"
"159","**Kỹ thuật Bán dẫn** _(Ngành mới)_","40","**Toán, Lý,** {Hóa, Anh, Tin, CNCN}<br>**Toán, Hóa,** {Anh, Tin, CNCN}","-","-","-","-","-"